iter	RMSE
0	7.86146284
1	7.852258519
2	7.843860061
3	7.835742236
4	7.831074386
5	7.822607991
6	7.812083212
7	7.79830935
8	7.787940642
9	7.783160535
10	7.772048056
11	7.76540849
12	7.760060122
13	7.748745713
14	7.738605909
15	7.724402325
16	7.713512759
17	7.699824739
18	7.69091692
19	7.683240723
20	7.671538174
21	7.657347925
22	7.651286364
23	7.637497088
24	7.630999422
25	7.624814237
26	7.617532109
27	7.600360193
28	7.596941923
29	7.588787575
30	7.582806838
31	7.569243361
32	7.557732839
33	7.551118032
34	7.544014095
35	7.539454256
36	7.536072894
37	7.52961631
38	7.520755006
39	7.514251388
40	7.507999571
41	7.499137736
42	7.494444802
43	7.488557945
44	7.485656463
45	7.460965268
46	7.444087574
47	7.428028907
48	7.419578311
49	7.412796486
50	7.407074862
51	7.398736203
52	7.395310944
53	7.385695268
54	7.380790272
55	7.370696408
56	7.361748356
57	7.354038259
58	7.349352236
59	7.341073205
60	7.328484563
61	7.320716921
62	7.307239769
63	7.303886127
64	7.29877287
65	7.294543981
66	7.284182839
67	7.277101138
68	7.269519649
69	7.265304603
70	7.255813777
71	7.253312737
72	7.244234048
73	7.237267662
74	7.230228248
75	7.227482252
76	7.220780522
77	7.212530782
78	7.211072441
79	7.20399216
80	7.195335329
81	7.184121977
82	7.17958711
83	7.175671785
84	7.169908982
85	7.169565011
86	7.165078749
87	7.161158582
88	7.146985114
89	7.140479483
90	7.132097735
91	7.130361633
92	7.125756925
93	7.113169172
94	7.104180764
95	7.099728077
96	7.095888156
97	7.086578227
98	7.08323962
99	7.079819456
100	7.075632266
101	7.071108607
102	7.059984128
103	7.053760686
104	7.05172438
105	7.044648063
106	7.043282134
107	7.037926491
108	7.034300111
109	7.028790429
110	7.023634341
111	7.013730523
112	7.011695881
113	6.998949588
114	6.99163591
115	6.984451836
116	6.982055739
117	6.977231084
118	6.973212246
119	6.9624418
120	6.948240112
121	6.941968792
122	6.936235885
123	6.929119929
124	6.915863122
125	6.909893446
126	6.905600024
127	6.904948251
128	6.9028928
129	6.894358203
130	6.889207685
131	6.885217486
132	6.872208074
133	6.86629388
134	6.863288587
135	6.860215282
136	6.856985698
137	6.854631192
138	6.851825965
139	6.846482507
140	6.837604437
141	6.835829445
142	6.830607813
143	6.82452608
144	6.815505662
145	6.806876247
146	6.80476854
147	6.801869402
148	6.792957781
149	6.787217905
150	6.781204692
151	6.778188857
152	6.772890941
153	6.769421101
154	6.765746467
155	6.755626
156	6.750010923
157	6.742180635
158	6.734953411
159	6.732079643
160	6.723484027
161	6.719712049
162	6.713638865
163	6.711083974
164	6.70433622
165	6.700114431
166	6.688025488
167	6.684005868
168	6.67672313
169	6.671538608
170	6.668539408
171	6.659057689
172	6.653287789
173	6.649571652
174	6.645311964
175	6.639463038
176	6.630064812
177	6.622299482
178	6.614713296
179	6.611852573
180	6.60802022
181	6.599681662
182	6.5966843
183	6.587415277
184	6.580126618
185	6.571877427
186	6.566595174
187	6.560656616
188	6.557023444
189	6.551408138
190	6.548981218
191	6.543651126
192	6.539331683
193	6.537463487
194	6.535014943
195	6.527514457
196	6.523723962
197	6.520298254
198	6.513933148
199	6.510122312
200	6.505924905
201	6.500848186
202	6.495762098
203	6.484435056
204	6.482810043
205	6.472928988
206	6.468919911
207	6.462430521
208	6.460416986
209	6.451215691
210	6.44717905
211	6.440342331
212	6.4330557
213	6.428571901
214	6.427184384
215	6.424592293
216	6.418251459
217	6.413129646
218	6.409071217
219	6.40692995
220	6.398591273
221	6.392800882
222	6.390384115
223	6.385662997
224	6.379952855
225	6.375925868
226	6.373254734
227	6.366144567
228	6.362408137
229	6.358117514
230	6.350180336
231	6.340275383
232	6.336463431
233	6.332565311
234	6.327134566
235	6.324160627
236	6.318440592
237	6.315552478
238	6.308101918
239	6.304738595
240	6.301032808
241	6.297677927
242	6.29473049
243	6.292683883
244	6.28775927
245	6.285051339
246	6.283969578
247	6.279560223
248	6.276655231
249	6.269835761
250	6.26524011
251	6.258801537
252	6.256864817
253	6.252693838
254	6.244637093
255	6.239952883
256	6.237064195
257	6.235247564
258	6.230859935
259	6.228971655
260	6.227151669
261	6.222626567
262	6.220778854
263	6.216430507
264	6.213066004
265	6.211119955
266	6.209145267
267	6.206004087
268	6.203293781
269	6.200630747
270	6.19749098
271	6.192243803
272	6.188199077
273	6.184180017
274	6.182161831
275	6.176482566
276	6.172193685
277	6.165710122
278	6.160203159
279	6.157149603
280	6.153084608
281	6.146842136
282	6.143839726
283	6.138720339
284	6.134525888
285	6.130463251
286	6.123309385
287	6.120354047
288	6.113358403
289	6.109271069
290	6.107570087
291	6.101761407
292	6.09772999
293	6.095847826
294	6.092948838
295	6.091440531
296	6.087463555
297	6.08462466
298	6.078939156
299	6.076150953
300	6.072222166
301	6.070248342
302	6.067405317
303	6.064725234
304	6.062712688
305	6.059979183
306	6.056099663
307	6.050502862
308	6.046677128
309	6.042909474
310	6.041387735
311	6.040046931
312	6.038704999
313	6.037834827
314	6.034121832
315	6.032388635
316	6.028729055
317	6.027412171
318	6.02380741
319	6.022594571
320	6.020051958
321	6.018830887
322	6.016342816
323	6.01278544
324	6.0072682
325	6.006015706
326	6.003575871
327	6.000064086
328	5.996605475
329	5.991183569
330	5.990035295
331	5.988821405
332	5.985409364
333	5.984161646
334	5.982981513
335	5.979620381
336	5.974295163
337	5.973130707
338	5.967908004
339	5.966759433
340	5.963439299
341	5.962306616
342	5.959036198
343	5.958301034
344	5.957147724
345	5.956056077
346	5.950925412
347	5.947699226
348	5.942663262
349	5.941659387
350	5.940595355
351	5.939618608
352	5.936435668
353	5.935471562
354	5.934449153
355	5.933511085
356	5.930374939
357	5.929379709
358	5.926290459
359	5.925376886
360	5.924408097
361	5.919457492
362	5.914601897
363	5.913645408
364	5.910593718
365	5.909650625
366	5.908720981
367	5.907804586
368	5.906964603
369	5.90566938
370	5.90266027
371	5.90178173
372	5.897009582
373	5.89575332
374	5.892783242
375	5.889857865
376	5.885170713
377	5.88228562
378	5.881491186
379	5.880647115
380	5.876045292
381	5.875272647
382	5.87242663
383	5.871664051
384	5.87091163
385	5.870169228
386	5.869378036
387	5.864860723
388	5.864079997
389	5.861272287
390	5.860559944
391	5.859423559
392	5.856655862
393	5.855962773
394	5.851525113
395	5.848795349
396	5.848111573
397	5.847436888
398	5.84677117
399	5.844081904
400	5.84300311
401	5.840352322
402	5.839704453
403	5.837093245
404	5.835223378
405	5.830882538
406	5.830195648
407	5.829571115
408	5.825311537
409	5.822731112
410	5.822114906
411	5.821506887
412	5.817324574
413	5.816724687
414	5.814179546
415	5.813587562
416	5.811847081
417	5.807762557
418	5.806780035
419	5.804266619
420	5.803696016
421	5.801220293
422	5.797207048
423	5.796643936
424	5.794202321
425	5.793646685
426	5.793098434
427	5.792164401
428	5.789757751
429	5.788114417
430	5.785742332
431	5.782039864
432	5.778402506
433	5.776058906
434	5.773750474
435	5.770169957
436	5.767892668
437	5.765649539
438	5.765118551
439	5.761593153
440	5.759380238
441	5.758855479
442	5.755387695
443	5.753204592
444	5.751054229
445	5.750535638
446	5.747121128
447	5.744999683
448	5.744487183
449	5.742397541
450	5.741891846
451	5.740372011
452	5.737023446
453	5.734960502
454	5.731667338
455	5.729632106
456	5.727627393
457	5.72713153
458	5.723888843
459	5.721911038
460	5.721421025
461	5.719472882
462	5.718989391
463	5.7157957
464	5.713873655
465	5.710484621
466	5.710006942
467	5.709535598
468	5.709070505
469	5.707175087
470	5.705690651
471	5.703822421
472	5.702359715
473	5.699286791
474	5.697442407
475	5.694420218
476	5.692600524
477	5.690808093
478	5.690356191
479	5.689910287
480	5.686933665
481	5.685165293
482	5.684724684
483	5.683329141
484	5.680413049
485	5.678667283
486	5.676947677
487	5.674076786
488	5.672380136
489	5.670708894
490	5.669429965
491	5.66661555
492	5.664965456
493	5.662197337
494	5.660569259
495	5.660140131
496	5.65853654
497	5.658113187
498	5.657695451
499	5.656391129
500	5.653675168
501	5.652092083
502	5.650532712
503	5.650123705
504	5.647449176
505	5.645910622
506	5.644395091
507	5.643021332
508	5.640399836
509	5.638903066
510	5.636324627
511	5.634847757
512	5.633393016
513	5.63299175
514	5.632595811
515	5.632205125
516	5.630992832
517	5.62846289
518	5.627026799
519	5.625612211
520	5.622338192
521	5.621045679
522	5.618563557
523	5.617166169
524	5.615789698
525	5.613345939
526	5.611987687
527	5.608764554
528	5.608310904
529	5.606972996
530	5.60572155
531	5.603323184
532	5.602001709
533	5.598830318
534	5.596469209
535	5.595164919
536	5.593880121
537	5.593435837
538	5.59031696
539	5.587991783
540	5.586778659
541	5.584459572
542	5.583190662
543	5.582756287
544	5.579718494
545	5.577462607
546	5.576280895
547	5.574005331
548	5.572752133
549	5.571517629
550	5.568558602
551	5.566369034
552	5.565213764
553	5.562979518
554	5.561759991
555	5.558921062
556	5.557717729
557	5.554931702
558	5.553744348
559	5.551010182
560	5.548809877
561	5.547636183
562	5.546480053
563	5.54379523
564	5.542408605
565	5.540242056
566	5.53911359
567	5.536982489
568	5.535633791
569	5.534534193
570	5.534112516
571	5.531480156
572	5.530170796
573	5.528072855
574	5.526999712
575	5.525942705
576	5.525527404
577	5.522944243
578	5.520878322
579	5.519618884
580	5.518587235
581	5.518177967
582	5.515644791
583	5.513611586
584	5.512388038
585	5.511381123
586	5.509380212
587	5.508190552
588	5.507209232
589	5.506805209
590	5.504835492
591	5.503867294
