iter	Passed	Remaining
0	45	45612
1	45	22799
2	45	15197
3	45	11402
4	45	9123
5	45	7598
6	46	6549
7	46	5736
8	46	5100
9	46	4591
10	46	4173
11	46	3826
12	46	3532
13	46	3280
14	46	3067
15	46	2875
16	46	2708
17	46	2562
18	47	2428
19	47	2309
20	47	2199
21	47	2100
22	47	2011
23	47	1929
24	47	1853
25	47	1783
26	47	1717
27	47	1657
28	47	1599
29	47	1547
30	47	1499
31	48	1453
32	48	1409
33	48	1368
34	48	1329
35	48	1293
36	48	1258
37	48	1225
38	48	1193
39	48	1163
40	48	1136
41	48	1110
42	48	1084
43	48	1061
44	48	1037
45	48	1016
46	49	995
47	49	975
48	49	955
49	49	937
50	49	918
51	49	901
52	49	885
53	49	869
54	49	853
55	49	839
56	49	824
57	49	810
58	50	797
59	50	784
60	50	772
61	50	759
62	50	748
63	50	736
64	50	725
65	50	714
66	50	704
67	50	694
68	50	684
69	50	675
70	50	666
71	51	657
72	51	648
73	51	640
74	51	631
75	51	623
76	51	615
77	51	607
78	51	599
79	51	591
80	51	584
81	51	577
82	51	570
83	51	563
84	51	556
85	51	550
86	51	543
87	51	537
88	51	531
89	51	525
90	52	519
91	52	513
92	52	508
93	52	502
94	52	497
95	52	492
96	52	487
97	52	481
98	52	476
99	52	471
100	52	467
101	52	462
102	52	457
103	52	453
104	52	449
105	52	444
106	52	440
107	52	436
108	52	432
109	53	428
110	53	425
111	53	421
112	53	417
113	53	414
114	53	410
115	53	407
116	53	403
117	53	400
118	53	397
119	53	393
120	53	390
121	53	387
122	53	384
123	54	381
124	54	378
125	54	375
126	54	373
127	54	370
128	54	367
129	54	364
130	54	361
131	54	358
132	54	355
133	54	353
134	54	350
135	54	347
136	54	345
137	54	342
138	54	339
139	54	337
140	54	334
141	55	332
142	55	330
143	55	327
144	55	325
145	55	323
146	55	320
147	55	318
148	55	316
149	55	314
150	55	311
151	55	309
152	55	307
153	55	305
154	55	303
155	55	301
156	55	299
157	55	297
158	55	295
159	55	293
160	55	291
161	56	289
162	56	287
163	56	285
164	56	284
165	56	282
166	56	280
167	56	278
168	56	276
169	56	275
170	56	273
171	56	271
172	56	270
173	56	268
174	56	266
175	56	265
176	56	263
177	56	262
178	56	260
179	56	258
180	56	257
181	56	255
182	57	254
183	57	253
184	57	252
185	57	250
186	57	249
187	57	247
188	57	246
189	57	245
190	57	244
191	57	242
192	57	241
193	57	240
194	57	239
195	58	237
196	58	236
197	58	235
198	58	234
199	58	233
200	58	232
201	58	230
202	58	229
203	58	228
204	58	227
205	58	226
206	58	225
207	58	224
208	58	222
209	58	221
210	59	220
211	59	219
212	59	218
213	59	217
214	59	216
215	59	215
216	59	214
217	59	213
218	59	211
219	59	210
220	59	209
221	59	208
222	59	207
223	59	206
224	59	205
225	59	204
226	59	203
227	59	202
228	59	201
229	59	200
230	60	199
231	60	198
232	60	197
233	60	196
234	60	196
235	60	195
236	60	194
237	60	193
238	60	192
239	60	191
240	60	190
241	60	189
242	60	188
243	60	187
244	60	187
245	60	186
246	60	185
247	60	184
248	60	183
249	60	182
250	60	181
251	60	181
252	61	180
253	61	179
254	61	178
255	61	177
256	61	177
257	61	176
258	61	175
259	61	174
260	61	174
261	61	173
262	61	172
263	61	171
264	61	171
265	61	170
266	61	169
267	61	168
268	61	168
269	61	167
270	61	166
271	62	166
272	62	165
273	62	164
274	62	164
275	62	163
276	62	162
277	62	162
278	62	161
279	62	160
280	62	160
281	62	159
282	62	158
283	62	158
284	62	157
285	62	156
286	62	156
287	62	155
288	62	154
289	63	154
290	63	153
291	63	152
292	63	152
293	63	151
294	63	151
295	63	150
296	63	149
297	63	149
298	63	148
299	63	148
300	63	147
301	63	147
302	63	146
303	63	145
304	63	145
305	63	144
306	63	144
307	63	143
308	63	143
309	64	142
310	64	142
311	64	141
312	64	140
313	64	140
314	64	139
315	64	139
316	64	138
317	64	138
318	64	137
319	64	137
320	64	136
321	64	136
322	64	135
323	64	135
324	64	134
325	64	134
326	64	133
327	64	133
328	65	132
329	65	132
330	65	131
331	65	131
332	65	130
333	65	130
334	65	129
335	65	129
336	65	128
337	65	128
338	65	127
339	65	127
340	65	126
341	65	126
342	65	126
343	65	125
344	65	125
345	65	124
346	65	124
347	66	123
348	66	123
349	66	122
350	66	122
351	66	122
352	66	121
353	66	121
354	66	120
355	66	120
356	66	120
357	66	119
358	66	119
359	66	118
360	66	118
361	66	118
362	67	117
363	67	117
364	67	116
365	67	116
366	67	115
367	67	115
368	67	115
369	67	114
370	67	114
371	67	114
372	67	113
373	67	113
374	67	113
375	67	112
376	67	112
377	68	111
378	68	111
379	68	111
380	68	110
381	68	110
382	68	110
383	68	109
384	68	109
385	68	109
386	68	108
387	68	108
388	68	108
389	68	107
390	69	107
391	69	107
392	69	106
393	69	106
394	69	106
395	69	105
396	69	105
397	69	105
398	69	104
399	69	104
400	69	104
401	69	103
402	69	103
403	69	103
404	69	102
405	69	102
406	69	101
407	70	101
408	70	101
409	70	100
410	70	100
411	70	100
412	70	99
413	70	99
414	70	99
415	70	98
416	70	98
417	70	98
418	70	97
419	70	97
420	70	97
421	70	96
422	70	96
423	70	96
424	70	95
425	70	95
426	71	95
427	71	95
428	71	94
429	71	94
430	71	94
431	71	93
432	71	93
433	71	93
434	71	92
435	71	92
436	71	92
437	71	92
438	71	91
439	71	91
440	71	91
441	72	90
442	72	90
443	72	90
444	72	90
445	72	89
446	72	89
447	72	89
448	72	89
449	72	88
450	72	88
451	72	88
452	72	88
453	73	87
454	73	87
